sub1,sub2,problem,verdict
464a03b8,cf27732e,20,0
d3a96420,ff34fab2,20,0
11d91f31,eea69e7f,19,0
949502c2,e647bef7,2,0
0b27be88,3f4a5b64,9,1
1dab88fb,99ccaa44,3,0
6bcc5afd,cb87df79,19,1
49e94e7e,f3d7ce08,4,0
38129877,7493a104,16,1
00f79486,ce0b2178,20,0
0951d079,927384f2,6,0
1dab88fb,a6229ee9,3,0
3dd65549,90dc2b20,4,0
6db218a2,90b71536,1,1
3380fa52,e1a5831a,8,0
90dc2b20,f229aa7f,4,0
4a570de6,6c4ac8d3,9,0
e185bce5,f3d7ce08,4,0
1097b326,b45d28b2,18,0
51151974,7d12d33c,15,0
2bd5c798,317baeaf,4,1
12309af3,390d2f23,17,0
930dd1f1,f4b87cc2,19,0
4323e2bd,ebd8ff55,19,0
63bfa731,9fc811f7,2,1
48c5f745,4d25818e,8,1
c4ca2ff3,d6fb3b9e,15,0
3d06b643,f6ca6fc8,19,1
c57a973e,fa484fdd,8,1
39210347,68dff461,17,1
2b7b2d45,a0b406e6,7,1
8b490132,db09b3f9,11,1
26e699de,90dc2b20,4,0
595f5d6c,ae775964,19,0
a0b406e6,c9b4bb51,7,0
54d7c21e,ad4c7a20,21,1
9862c742,d9199dfd,20,0
547ee69b,5ce1fe32,19,0
8ad1ad84,f652c678,1,0
99bc7da3,b3638571,7,0
2da4b3fe,3d06b643,19,1
9862c742,cf27732e,20,0
3ff25f43,c287ea9d,21,0
4fd752f7,c7239c97,9,1
18e2441c,792863db,9,0
2e404969,d76e3b9d,21,0
722e318f,c9159d9c,20,0
13441e8f,141effef,19,0
9d1bfd29,fe07e031,13,0
07a0e4dc,bac616ee,3,0
9cea10af,d63e6e3f,19,0
35bb6075,42fe7dd0,15,0
8a39dbf5,e1a5831a,8,0
11c2ab99,8f6421f3,8,1
0b5cff5a,4fb09c5f,8,0
c4ca2ff3,ccc8ef27,15,0
680ba922,f3d7ce08,4,0
6f393cfe,d61f51c5,15,1
a8e2cefc,ee270b2a,8,0
24afd00e,279e274a,1,0
115c99cb,548ffb07,14,1
9ed0ece8,c48673a6,18,0
595f5d6c,6653a758,19,0
2ff0355e,83935617,9,0
d6fb3b9e,f7a0ea6d,15,0
23cb8587,48801d9e,1,0
1386da0e,f87eb1b3,18,0
6a47e491,f2cf6a74,15,0
28c2d81a,fa484fdd,8,1
b790ef12,ff34fab2,20,0
7686c854,edce3e39,18,1
6653a758,f6ca6fc8,19,1
b2bae06a,d4779c71,6,0
7974ffba,94b3b86d,2,0
73f1c5f5,da0b7cb2,2,0
a60fba84,c695a974,18,0
25151980,3b5cec19,9,0
5e3089fa,aea245ba,13,0
11c2ab99,28c2d81a,8,1
550335a3,6d7d5dd7,4,0
558df7d4,d8654140,17,0
3088ca9c,6f393cfe,15,1
213340b3,870e16d9,4,0
